filename,faces
136.jpeg,5
114.jpeg,18
186.jpeg,1
183.jpeg,1
194.jpeg,6
140.jpeg,5
197.jpeg,1
173.jpeg,2
125.jpeg,1
123.jpeg,6
142.jpeg,1
113.jpeg,3
148.jpeg,19
144.jpeg,2
132.jpeg,9
121.jpeg,5
211.jpeg,1
128.jpeg,1
191.jpeg,5
163.jpeg,15
181.jpeg,2
199.jpeg,0
151.jpeg,13
169.jpeg,10
158.jpeg,4
137.jpeg,3
134.jpeg,3
187.jpeg,3
170.jpeg,1
177.jpeg,4
179.jpeg,0
115.jpeg,57
153.jpeg,7
154.jpeg,2
198.jpeg,5
210.jpeg,25
171.jpeg,0
108.jpeg,1
109.jpeg,5
206.jpeg,10
196.jpeg,2
185.jpeg,9
130.jpeg,5
207.jpeg,35
127.jpeg,3
149.jpeg,2
174.jpeg,1
184.jpeg,7
188.jpeg,0
145.jpeg,2
116.jpeg,2
168.jpeg,6
208.jpeg,1
205.jpeg,5
161.jpeg,2
112.jpeg,3
138.jpeg,3
117.jpeg,2
118.jpeg,5
204.jpeg,1
175.jpeg,2
164.jpeg,2
165.jpeg,0
126.jpeg,6
193.jpeg,3
122.jpeg,2
213.jpeg,0
141.jpeg,1
202.jpeg,5
160.jpeg,4
195.jpeg,3
129.jpeg,2
178.jpeg,6
156.jpeg,2
201.jpeg,5
152.jpeg,1
155.jpeg,2
120.jpeg,0
150.jpeg,4
166.jpeg,2
135.jpeg,0
111.jpeg,2
157.jpeg,6
119.jpeg,2
159.jpeg,0
189.jpeg,6
133.jpeg,3
110.jpeg,0
180.jpeg,4
176.jpeg,1
167.jpeg,104
147.jpeg,0
182.jpeg,5
172.jpeg,5
209.jpeg,5
203.jpeg,5
214.jpeg,0
131.jpeg,1
192.jpeg,6
212.jpeg,2
146.jpeg,4
124.jpeg,4
143.jpeg,4
190.jpeg,2
139.jpeg,2
162.jpeg,2
200.jpeg,10
Total,595
